G1	G2	G3	G4	G5	G6	G7	G9	G10
0.2689431	0.6978011	0.3723752	0.6416361	0.4783902	0.9672964	0.5000000	1.0000000	0.7000000
0.2689431	0.6887642	0.2686286	0.7360649	0.4783902	0.9672964	0.5000000	1.0000000	0.6000000
0.2689431	0.6822319	0.1794813	0.8772348	0.4783902	0.9672964	0.5000000	1.0000000	0.5000000
0.2689431	0.6801266	0.1142104	0.9659270	0.4783902	0.9672964	0.5000000	1.0000000	0.4000000
0.2689431	0.6796820	0.0749592	0.9913037	0.4783902	0.9672964	0.5000000	1.0000000	0.3000000
0.2689431	0.6795968	0.0568434	0.9965533	0.4783902	0.9672964	0.5000000	1.0000000	0.2000000
0.2689431	0.6795812	0.0514919	0.9975298	0.4783902	0.9672964	0.5000000	1.0000000	0.1000000
0.2689431	0.6795798	0.0509779	0.9976123	0.4783399	0.9671694	0.5000000	1.0000000	0.0000000
0.2689432	0.7199017	0.6608046	0.5302423	0.2670452	0.7164303	0.4000000	0.9999997	1.0000000
0.2689432	0.7173750	0.5764471	0.5392433	0.2670452	0.7164303	0.4000000	0.9999997	0.9000000
0.2689432	0.7123095	0.4784037	0.5593193	0.2670452	0.7164303	0.4000000	0.9999997	0.8000000
0.2689432	0.7027023	0.3723696	0.6080867	0.2670452	0.7164303	0.4000000	0.9999997	0.7000000
0.2689432	0.6900519	0.2686217	0.7183499	0.2670452	0.7164303	0.4000000	0.9999997	0.6000000
0.2689432	0.6823376	0.1794744	0.8735903	0.2670452	0.7164303	0.4000000	0.9999997	0.5000000
0.2689432	0.6801301	0.1142049	0.9656764	0.2670452	0.7164303	0.4000000	0.9999997	0.4000000
0.2689432	0.6796819	0.0749558	0.9912933	0.2670452	0.7164303	0.4000000	0.9999997	0.3000000
0.2689432	0.6795968	0.0568420	0.9965524	0.2670452	0.7164303	0.4000000	0.9999997	0.2000000
0.2689432	0.6795812	0.0514916	0.9975288	0.2670452	0.7164303	0.4000000	0.9999997	0.1000000
0.2689432	0.6795799	0.0509779	0.9976110	0.2670452	0.7164303	0.4000000	0.9999997	0.0000000
0.2708578	0.7416559	0.6608046	0.4723090	0.1284441	0.1547298	0.3000000	0.9966920	1.0000000
0.2708578	0.7368553	0.5764470	0.4836402	0.1284441	0.1547298	0.3000000	0.9966920	0.9000000
0.2708578	0.7275430	0.4784035	0.5087225	0.1284441	0.1547298	0.3000000	0.9966920	0.8000000
0.2708578	0.7111958	0.3723693	0.5685717	0.1284441	0.1547298	0.3000000	0.9966920	0.7000000
0.2708578	0.6928001	0.2686214	0.6985072	0.1284441	0.1547298	0.3000000	0.9966920	0.6000000
0.2708578	0.6836327	0.1794741	0.8697454	0.1284441	0.1547298	0.3000000	0.9966920	0.5000000
0.2708578	0.6813296	0.1142047	0.9654002	0.1284441	0.1547298	0.3000000	0.9966920	0.4000000
0.2708578	0.6808800	0.0749556	0.9912759	0.1284441	0.1547298	0.3000000	0.9966920	0.3000000
0.2708578	0.6807952	0.0568419	0.9965497	0.1284441	0.1547298	0.3000000	0.9966920	0.2000000
0.2708578	0.6807798	0.0514916	0.9975274	0.1284441	0.1547298	0.3000000	0.9966920	0.1000000
0.2708578	0.6807785	0.0509779	0.9976096	0.1284441	0.1547298	0.3000000	0.9966920	0.0000000
0.3810406	0.8133544	0.6608046	0.4005805	0.0778444	0.0803323	0.2000000	0.8450809	1.0000000
0.3810406	0.8060546	0.5764470	0.4151590	0.0778444	0.0803323	0.2000000	0.8450809	0.9000000
0.3810406	0.7925147	0.4784035	0.4471295	0.0778444	0.0803323	0.2000000	0.8450809	0.8000000
0.3810406	0.7712652	0.3723693	0.5217864	0.0778444	0.0803323	0.2000000	0.8450809	0.7000000
0.3810406	0.7521605	0.2686213	0.6763824	0.0778444	0.0803323	0.2000000	0.8450809	0.6000000
0.3810406	0.7448676	0.1794740	0.8657814	0.0778444	0.0803323	0.2000000	0.8450809	0.5000000
0.3810406	0.7432938	0.1142046	0.9651268	0.0778444	0.0803323	0.2000000	0.8450809	0.4000000
0.3810406	0.7429990	0.0749556	0.9912587	0.0778444	0.0803323	0.2000000	0.8450809	0.3000000
0.3810406	0.7429439	0.0568419	0.9965470	0.0778444	0.0803323	0.2000000	0.8450809	0.2000000
0.3810406	0.7429338	0.0514916	0.9975260	0.0778444	0.0803323	0.2000000	0.8450809	0.1000000
0.3810406	0.7429330	0.0509779	0.9976083	0.0778444	0.0803323	0.2000000	0.8450809	0.0000000
0.4259064	0.8800304	0.6608046	0.3111939	0.0690619	0.0759660	0.1000000	0.7956980	1.0000000
0.4259064	0.8657116	0.5764470	0.3303750	0.0690619	0.0759660	0.1000000	0.7956980	0.9000000
0.4259064	0.8388976	0.4784035	0.3719574	0.0690619	0.0759660	0.1000000	0.7956980	0.8000000
0.4259064	0.7997520	0.3723693	0.4665592	0.0690619	0.0759660	0.1000000	0.7956980	0.7000000
0.4259064	0.7722302	0.2686213	0.6520012	0.0690619	0.0759660	0.1000000	0.7956980	0.6000000
0.4259064	0.7645504	0.1794740	0.8617646	0.0690619	0.0759660	0.1000000	0.7956980	0.5000000
0.4259064	0.7631415	0.1142046	0.9648615	0.0690619	0.0759660	0.1000000	0.7956980	0.4000000
0.4259064	0.7628880	0.0749556	0.9912421	0.0690619	0.0759660	0.1000000	0.7956980	0.3000000
0.4259064	0.7628410	0.0568419	0.9965444	0.0690619	0.0759660	0.1000000	0.7956980	0.2000000
0.4259064	0.7628324	0.0514916	0.9975247	0.0690619	0.0759660	0.1000000	0.7956980	0.1000000
0.4259064	0.7628317	0.0509779	0.9976071	0.0690619	0.0759660	0.1000000	0.7956980	0.0000000
0.4275971	0.9614911	0.6608046	0.2061520	0.0687255	0.0758302	0.0000000	0.7939393	1.0000000
0.4275971	0.9439665	0.5764470	0.2315216	0.0687255	0.0758302	0.0000000	0.7939393	0.9000000
0.4275971	0.9004579	0.4784035	0.2857899	0.0687255	0.0758302	0.0000000	0.7939393	0.8000000
0.4275971	0.8221425	0.3723693	0.4056541	0.0687255	0.0758302	0.0000000	0.7939393	0.7000000
0.4275971	0.7747307	0.2686213	0.6270706	0.0687255	0.0758302	0.0000000	0.7939393	0.6000000
0.4275971	0.7653193	0.1794740	0.8579936	0.0687255	0.0758302	0.0000000	0.7939393	0.5000000
0.4275971	0.7638534	0.1142046	0.9646227	0.0687255	0.0758302	0.0000000	0.7939393	0.4000000
0.4275971	0.7635991	0.0749556	0.9912273	0.0687255	0.0758302	0.0000000	0.7939393	0.3000000
0.4275971	0.7635522	0.0568419	0.9965421	0.0687255	0.0758302	0.0000000	0.7939393	0.2000000
0.4275971	0.7635437	0.0514916	0.9975235	0.0687255	0.0758302	0.0000000	0.7939393	0.1000000
0.4275971	0.7635430	0.0509779	0.9976060	0.0687255	0.0758302	0.0000000	0.7939393	0.0000000
