iHF	csgD	+
iHF	ompR	-
lrhA	flhC	-
lrhA	flhD	-
rbsR	rbsB	-
nsrR	fliA	-
nsrR	fliZ	-
csgD	flgM	-
csgD	flgN	-
csgD	fliA	-
csgD	fliE	-
csgD	fliF	-
csgD	fliG	-
csgD	fliH	-
csgD	fliI	-
csgD	fliJ	-
csgD	fliK	-
csgD	fliZ	-
rcsAB	flhC	-
rcsAB	flhD	-
matA	flhC	-
matA	flhD	-
matA	fliA	-
matA	fliC	-
matA	fliZ	-
h_NS	hdfR	-
h_NS	yjjQ	-
h_NS	flhC	+
h_NS	flhD	+
hdfR	flhC	-
hdfR	flhD	-
sutR	fliA	-
sutR	fliZ	-
fliZ	flhC	-
fliZ	flhD	-
cpxR	cheA	-
cpxR	cheW	-
cpxR	csgD	-
cpxR	motA	-
cpxR	motB	-
cpxR	tsr	-
yjjQ	flhC	-
yjjQ	flhD	-
flhDC	flgE	+
flhDC	flgF	+
flhDC	flgG	+
flhDC	flgH	+
flhDC	flgI	+
flhDC	flgK	+
flhDC	flgL	+
flhDC	flhA	+
flhDC	flhB	+
flhDC	fliA	+
flhDC	fliD	+
flhDC	fliE	+
flhDC	fliF	+
flhDC	fliG	+
flhDC	fliH	+
flhDC	fliI	+
flhDC	fliJ	+
flhDC	fliK	+
flhDC	fliM	+
flhDC	fliN	+
flhDC	fliO	+
flhDC	fliP	+
flhDC	fliQ	+
flhDC	fliR	+
flhDC	fliS	+
flhDC	fliT	+
flhDC	fliZ	+
flhDC	flgB	+
flhDC	flgC	+
flhDC	flgD	+
cRP	flhC	+
cRP	flhD	+
cRP	malE	+
cRP	malT	+
cRP	mglB	+
cRP	trg	+
cRP	ompR	+
cRP	ompR	-
cRP	aer	+
ompR	csgD	+
malT	malE	+
