0.4255723	0.2246648	0.7090568	0.1763784	0.9087499	0.3468645	0.2740226
0.4795048	0.2427271	0.7533727	0.2519236	0.7189826	0.4354904	0.3002087
0.6677999	0.2309080	0.6991564	0.2070085	0.8214708	0.3903426	0.2933176
0.5354762	0.2483123	0.9489420	0.1825414	0.8400157	0.3328343	0.3381535
0.6044045	0.1852782	0.7687010	0.2198601	0.7433212	0.3367496	0.3383180
0.5521892	0.1944884	0.7549850	0.2348306	0.7675855	0.2869752	0.3082083
0.5599014	0.2227382	0.9278598	0.1962573	0.8661886	0.2387211	0.3425288
0.6190852	0.2059752	0.6751900	0.2110876	0.8299599	0.3865958	0.2612874
0.7031539	0.2458392	0.7108810	0.2331803	0.6607200	0.2971200	0.3268205
0.5680926	0.2453486	0.7703646	0.2025217	0.9220233	0.2644530	0.2985307
0.7461045	0.1986794	0.5526192	0.2477616	0.7577536	0.2113852	0.2919936
0.6113808	0.2274371	0.6521449	0.1886016	0.7951470	0.1621504	0.3207449
0.5921912	0.2383438	0.5709712	0.2030366	0.7368953	0.1846092	0.3067065
0.7414594	0.1943329	0.4723129	0.2312915	0.7382329	0.1491164	0.3179012
0.7433618	0.2162042	0.4316855	0.2573577	0.7697662	0.0997044	0.3085321
0.6678728	0.2259975	0.4026030	0.2254956	0.7684316	0.1204731	0.2994531
0.6404150	0.2438837	0.3817068	0.2365667	0.7582007	0.0801854	0.3017627
0.7785743	0.2262537	0.3172850	0.2829296	0.7652201	0.0655371	0.2495037
0.7326274	0.1696025	0.3001489	0.3290806	0.7209155	0.0656758	0.2920395
0.4757772	0.2623729	0.3622579	0.2545130	0.3397772	0.3321680	0.2308198
0.5952900	0.2037492	0.3043028	0.2742015	0.0924031	0.3367662	0.2805593
0.5156206	0.2418669	0.6718402	0.1630198	0.6599182	0.4235755	0.2657676
0.4622860	0.2110909	0.7492411	0.2126812	0.7312904	0.4239539	0.2769860
0.4754701	0.2494867	0.7328394	0.2336956	0.9306934	0.4385351	0.2334067
