G1	G2	G3	G5	G10
0.0000003	0.1446511	0.4705329	0.0000000	0.0204056
0.0000027	0.0792413	0.5975028	0.0000001	0.0535272
0.0000017	0.0761632	0.4194311	0.0000000	0.0325166
0.0000005	0.0533990	0.4725908	0.0000001	0.0268744
0.0000003	0.0641317	0.0048990	0.2991921	0.8668789
0.0000024	0.0605708	0.0137464	0.3210581	0.6881710
0.0000022	0.1407430	0.0157268	0.1488920	0.4198991
0.0000001	0.1089374	0.1670088	0.0857064	0.0241015
0.0000006	0.1308944	0.4084674	0.0098913	0.0388911
0.0000005	0.0740237	0.5154690	0.0000001	0.0311614
0.0000003	0.0836557	0.4874306	0.0000000	0.0428442
0.0000003	0.0824588	0.4893464	0.0000001	0.0455012
0.0000013	0.0598385	0.4193867	0.0000001	0.0244334
0.0000005	0.1130240	0.4994657	0.0000000	0.0487904
0.0000004	0.0894093	0.4599200	0.0000000	0.0501850
