G1	G2	G3	G5	G10
0.0000251	0.0907162	0.5026351	0.0000009	0.0345622
0.0000015	0.0594373	0.4910665	0.0000002	0.0375761
0.0000080	0.0752049	0.4160354	0.0000041	0.0212902
0.0000054	0.0888530	0.5557017	0.0000027	0.0224262
0.0000011	0.0725875	0.0029158	0.3036866	0.7784600
0.0000100	0.0539364	0.0074969	0.3031461	0.8033533
0.0000061	0.0519686	0.0301959	0.1871143	0.4312036
0.0000039	0.0536694	0.1601361	0.0773254	0.0395872
0.0000028	0.1035813	0.4414063	0.0033242	0.0581460
0.0000023	0.1285343	0.4431254	0.0000060	0.0474438
0.0000009	0.1077438	0.5571490	0.0000083	0.0295551
0.0000023	0.0738373	0.4697063	0.0000006	0.0311102
0.0000012	0.1092038	0.4453094	0.0000073	0.0263445
0.0000135	0.0735890	0.4569834	0.0000009	0.0249254
0.0000025	0.1013329	0.5243871	0.0000008	0.0264149
