G1	G2	G3	G4	G5	G6	G7	G8	G9
0.6641226	0.2326967	0.3595101	0.2763185	0.5695170	0.7658095	0.0890413	0.2040115	0.2701105
0.6753921	0.2027151	0.3542719	0.2091813	0.6779327	0.8679453	0.0564565	0.1194792	0.3159535
0.6819533	0.2576475	0.3488666	0.2957734	0.7927659	0.6514684	0.1029797	0.0723015	0.3483139
0.6718766	0.2016152	0.3564807	0.4095146	0.6756457	0.3812225	0.3631273	0.0510490	0.2762526
0.5681068	0.2804929	0.3561733	0.3159544	0.7292096	0.0540162	0.3902282	0.0000000	0.2456438
0.5176497	0.2572474	0.7875453	0.2045422	0.7493672	0.7390841	0.3782943	0.7150756	0.2879509
0.5372276	0.2334421	0.6494369	0.2059639	0.7155555	0.8530493	0.2819003	0.7105736	0.3520630
0.4532347	0.2018024	0.7018505	0.1994602	0.6514527	0.7326510	0.3003615	0.7810883	0.3032420
0.5663408	0.2238804	0.7933435	0.2065578	0.6651806	0.8188260	0.3786148	0.5201653	0.3177710
0.6030163	0.2823653	0.7625281	0.1815616	0.6797115	0.7578968	0.2646669	0.7065550	0.3119141
0.5906053	0.1671301	0.6640548	0.1889520	0.6074442	0.7289683	0.3286009	0.6651570	0.2609801
0.5701052	0.2126095	0.7183391	0.2445831	0.8269891	0.8120424	0.3482176	0.6033423	0.2623534
0.6893937	0.2235190	0.8315437	0.2001981	0.7190621	0.8714992	0.3532861	0.5237241	0.3361761
0.6302992	0.1940887	0.8068062	0.1715116	0.7085849	0.6829331	0.2519006	0.5824046	0.3226126
0.7391871	0.2504824	0.6540515	0.2410830	0.6247756	0.7584613	0.2407994	0.4748665	0.2794479
0.7128206	0.1819971	0.6331406	0.2150777	0.6461447	0.8486159	0.1910871	0.3853171	0.2433191
0.6873509	0.2263507	0.6822934	0.1711731	0.6710799	0.6949704	0.1568071	0.3920726	0.3019525
0.6471173	0.2061620	0.5924093	0.2167257	0.5899628	0.7695288	0.1274766	0.2820445	0.2771277
0.7881031	0.2331379	0.4989319	0.2399749	0.6347026	0.7424311	0.1110250	0.2672370	0.2680451
0.6252830	0.1911086	0.4582277	0.2660918	0.6388326	0.8421616	0.1275906	0.2611092	0.3294206
0.7144683	0.2822693	0.4091996	0.2167769	0.6285996	0.7252624	0.0991652	0.2123756	0.2669509
0.8402564	0.2151770	0.4078258	0.2704185	0.5486994	0.7978431	0.0649114	0.2053743	0.3020429
0.7307782	0.2174088	0.3939893	0.3218624	0.7648761	0.6914966	0.0473267	0.1196096	0.3039691
0.6071062	0.2066232	0.3487528	0.2468576	0.7304419	0.7889996	0.0851191	0.0653205	0.2437463
0.5137055	0.2775148	0.2834079	0.3283218	0.6949374	0.2939026	0.3988120	0.0621077	0.2788222
0.5129134	0.2126356	0.3364836	0.3034289	0.6321337	0.0952860	0.3290402	0.0000001	0.1966469
0.4825819	0.2426445	0.7723588	0.1857913	0.6281368	0.6882963	0.4713712	0.8973504	0.2626644
0.4992007	0.2506038	0.7112578	0.2607873	0.5413842	0.8554174	0.3680135	0.7080921	0.3216655
0.6026247	0.1647123	0.8186708	0.1886586	0.5912125	0.8709205	0.3669237	0.6251769	0.3004260
0.4912629	0.2204622	0.7429660	0.2346186	0.6502546	0.7644548	0.3219126	0.7917498	0.3272147
0.5120974	0.2193114	0.6635474	0.2451689	0.6455172	0.8811294	0.3201675	0.7002419	0.2797539
0.5202820	0.1837670	0.7277997	0.2224819	0.5878345	0.7444755	0.3586686	0.6114040	0.3062287
0.5900477	0.1970503	0.7333898	0.2327341	0.5628234	0.8791633	0.3099743	0.5058487	0.2410116
0.7930402	0.2309891	0.6343243	0.1780250	0.5799848	0.9158726	0.3359355	0.5516110	0.3005062
0.6855866	0.1788302	0.7817387	0.2420313	0.6357815	0.9645240	0.2738115	0.5472355	0.3378335
0.6177695	0.1993207	0.6870566	0.2066309	0.6010466	0.8880480	0.2427440	0.4007398	0.2867942
0.7364311	0.2674802	0.5937413	0.2410399	0.6557255	0.7772023	0.2403973	0.3595220	0.2776647
0.6991015	0.1820387	0.5642727	0.1723866	0.5826619	0.6409245	0.2195616	0.3079184	0.3598103
0.6479575	0.2248680	0.5350705	0.2040713	0.5176541	0.9466152	0.1745208	0.3073457	0.3052849
0.7274989	0.2112603	0.5147189	0.2223360	0.7344932	0.8436097	0.1776090	0.2695839	0.4312533
0.6535107	0.1791970	0.5489192	0.2716257	0.7625584	0.7383130	0.0731699	0.1927394	0.3081259
0.7402596	0.2094889	0.5188092	0.2075737	0.6690671	0.8174240	0.0974147	0.2010173	0.3208108
0.7255313	0.1758732	0.3216882	0.2962800	0.5509436	0.7897185	0.0621653	0.1516053	0.2776777
0.6862240	0.2060951	0.3137936	0.2776441	0.6819772	0.8270235	0.0862634	0.0638987	0.3196522
0.8304232	0.2598165	0.3749483	0.2658006	0.7186720	0.8108449	0.0787822	0.0896269	0.3437279
0.6240744	0.2704484	0.4341494	0.2915922	0.6551243	0.3890271	0.3762192	0.0390884	0.2550619
0.5030030	0.1978373	0.3798160	0.2716805	0.7285297	0.0651246	0.3013360	0.0000001	0.3072315
0.5438405	0.2454101	0.7359172	0.2127904	0.6925396	0.9305013	0.3518746	0.8514373	0.3181958
0.4750853	0.2299285	0.7936382	0.1392557	0.6388399	0.7696929	0.3666678	0.7120080	0.2551455
0.5869532	0.2074479	0.8553839	0.1840574	0.5651250	0.7596928	0.3402817	0.7488249	0.2496662
0.4229490	0.2105779	0.8251896	0.2655531	0.6409206	0.6767899	0.3962878	0.6264530	0.2511197
0.4934319	0.2714144	0.7222144	0.2253785	0.5836088	0.6992192	0.2494186	0.7045644	0.2732343
0.6563266	0.2369503	0.7903772	0.2973403	0.5791693	0.8076718	0.2603249	0.5792955	0.3051426
0.5502771	0.1987263	0.8242550	0.1883560	0.4649228	0.8136653	0.3076430	0.5957070	0.3125104
0.6972404	0.2344813	0.8083181	0.1632537	0.5271760	0.7708115	0.2827640	0.5364256	0.2830554
0.6883951	0.2213317	0.6832984	0.2095208	0.6451342	0.6792266	0.2751304	0.4635359	0.4026657
0.6381264	0.2043011	0.6345621	0.1459147	0.6154763	0.7673460	0.1598241	0.4704954	0.2567068
0.6383852	0.2066541	0.6030882	0.2184708	0.6804043	0.8657874	0.1697530	0.3517495	0.2822439
0.7460931	0.2125539	0.5191956	0.2269955	0.5983300	0.8569081	0.1944158	0.3388578	0.2784516
