G1	G2	G3	G4	G5	G6	G7	G8	G9
0.8697281	0.2520143	0.4847384	0.3361498	0.9000002	0.9944258	0.0943100	0.2000143	0.3806986
0.8704896	0.2519851	0.4665035	0.3451357	0.9000005	0.9828035	0.0825053	0.1500353	0.3806776
0.8697831	0.2518825	0.4603068	0.3484863	0.9000000	0.9193622	0.0954678	0.1000013	0.3807533
0.7114238	0.2814561	0.4488870	0.3545273	0.9000000	0.4512139	0.4202283	0.0500000	0.3757174
0.6634205	0.2941070	0.4506802	0.3536173	0.9000000	0.0954835	0.4710629	0.0000001	0.3730713
0.6549038	0.2966537	0.9481251	0.2611520	0.8503709	0.9999907	0.4793624	1.0000000	0.3724708
0.6646466	0.2941038	0.9478629	0.2611845	0.8500174	0.9999886	0.4690812	0.9500261	0.3729721
0.6760186	0.2910335	0.9474280	0.2612197	0.8500062	0.9999858	0.4571838	0.9000224	0.3736078
0.6890543	0.2875515	0.9463589	0.2612734	0.8500022	0.9999822	0.4434560	0.8500145	0.3743391
0.7038227	0.2837518	0.9440655	0.2613732	0.8500008	0.9999774	0.4276403	0.8000083	0.3751273
0.7203585	0.2797164	0.9398215	0.2615568	0.8500003	0.9999707	0.4094583	0.7500045	0.3759409
0.7385184	0.2756518	0.9324623	0.2619010	0.8500003	0.9999615	0.3886505	0.7000054	0.3767032
0.7580954	0.2715299	0.9209824	0.2624538	0.8500003	0.9999483	0.3649768	0.6500063	0.3774505
0.7785230	0.2674913	0.9036034	0.2633364	0.8500003	0.9999289	0.3383119	0.6000072	0.3781584
0.7990102	0.2635430	0.8781679	0.2647276	0.8500001	0.9998995	0.3086841	0.5500035	0.3788641
0.8182007	0.2601773	0.8413749	0.2670487	0.8500001	0.9998532	0.2764658	0.5000038	0.3794190
0.8349663	0.2573859	0.7908987	0.2709072	0.8500001	0.9997768	0.2423358	0.4500042	0.3798682
0.8482834	0.2553822	0.7262640	0.2773587	0.8500003	0.9996436	0.2074683	0.4000107	0.3801544
0.8579829	0.2538593	0.6523746	0.2877794	0.8500003	0.9993942	0.1733501	0.3500116	0.3803967
0.8642796	0.2528789	0.5799539	0.3029607	0.8500003	0.9988824	0.1418671	0.3000125	0.3805541
0.8679324	0.2523056	0.5217963	0.3208236	0.8500003	0.9976958	0.1149231	0.2500134	0.3806483
0.8698105	0.2520023	0.4847418	0.3361481	0.8500003	0.9944258	0.0943100	0.2000143	0.3807004
0.8705717	0.2519731	0.4665068	0.3451339	0.8500008	0.9828035	0.0825053	0.1500353	0.3806794
0.8698655	0.2518706	0.4603100	0.3484846	0.8500000	0.9193622	0.0954678	0.1000013	0.3807551
0.7115537	0.2814250	0.4489016	0.3545193	0.8500000	0.4512139	0.4202283	0.0500000	0.3757235
0.6635647	0.2940661	0.4506967	0.3536081	0.8500000	0.0954835	0.4710629	0.0000001	0.3730801
0.6551056	0.2965947	0.9481771	0.2611497	0.8001790	0.9999907	0.4793624	1.0000000	0.3724835
0.6648410	0.2940508	0.9479065	0.2611829	0.8000231	0.9999886	0.4690812	0.9500261	0.3729830
