G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.9402885	0.8770916	0.0568632	0.9964892	0.0687255	0.0758301	0.0072001	0.7798487	0.3025294	0.2000388
0.9402885	0.8770888	0.0514965	0.9974991	0.0687255	0.0758301	0.0072001	0.7798487	0.3025294	0.1000437
0.9402880	0.8770875	0.0509779	0.9976058	0.0687255	0.0758301	0.0072000	0.7798488	0.3025296	0.0000024
0.9402921	0.9625772	0.6608046	0.2061520	0.0687255	0.0758301	0.0060039	0.7798487	0.3025283	1.0000000
0.9402890	0.9506870	0.5765074	0.2313947	0.0687255	0.0758301	0.0060003	0.7798487	0.3025293	0.9000132
0.9402882	0.9259764	0.4784223	0.2857059	0.0687255	0.0758301	0.0060000	0.7798488	0.3025295	0.8000036
0.9402880	0.8946461	0.3723801	0.4055511	0.0687255	0.0758301	0.0060000	0.7798488	0.3025296	0.7000020
0.9402880	0.8808452	0.2686346	0.6268604	0.0687255	0.0758301	0.0060000	0.7798488	0.3025296	0.6000026
0.9402882	0.8784358	0.1795097	0.8575081	0.0687255	0.0758301	0.0060000	0.7798488	0.3025295	0.5000089
0.9402882	0.8780626	0.1142332	0.9644352	0.0687255	0.0758301	0.0060000	0.7798488	0.3025295	0.4000107
0.9402885	0.8779999	0.0750039	0.9910740	0.0687255	0.0758301	0.0060001	0.7798487	0.3025294	0.3000340
0.9402885	0.8779867	0.0568632	0.9964892	0.0687255	0.0758301	0.0060001	0.7798487	0.3025294	0.2000388
0.9402885	0.8779840	0.0514965	0.9974991	0.0687255	0.0758301	0.0060001	0.7798487	0.3025294	0.1000437
0.9402880	0.8779827	0.0509779	0.9976058	0.0687255	0.0758301	0.0060000	0.7798488	0.3025296	0.0000024
0.9402921	0.9634997	0.6608046	0.2061520	0.0687255	0.0758301	0.0048041	0.7798487	0.3025283	1.0000000
0.9402890	0.9516045	0.5765074	0.2313947	0.0687255	0.0758301	0.0048003	0.7798487	0.3025293	0.9000132
0.9402882	0.9268820	0.4784223	0.2857059	0.0687255	0.0758301	0.0048000	0.7798488	0.3025295	0.8000036
0.9402880	0.8955364	0.3723801	0.4055511	0.0687255	0.0758301	0.0048000	0.7798488	0.3025296	0.7000020
0.9402880	0.8817288	0.2686346	0.6268604	0.0687255	0.0758301	0.0048000	0.7798488	0.3025296	0.6000026
0.9402882	0.8793181	0.1795097	0.8575081	0.0687255	0.0758301	0.0048000	0.7798488	0.3025295	0.5000089
0.9402882	0.8789448	0.1142332	0.9644352	0.0687255	0.0758301	0.0048000	0.7798488	0.3025295	0.4000107
0.9402885	0.8788821	0.0750039	0.9910740	0.0687255	0.0758301	0.0048001	0.7798487	0.3025294	0.3000340
0.9402885	0.8788688	0.0568632	0.9964892	0.0687255	0.0758301	0.0048001	0.7798487	0.3025294	0.2000388
